std,type,big,middle,job,sex,age,money,count,mean_money
14-Sep,내국인 관광객,제주시,이도2동,슈퍼 마켓,남,30대,28828070,931,30965
14-Sep,내국인 관광객,서귀포시,성산읍,기념품 점,남,50대,1719800,57,30172
14-Sep,내국인 관광객,제주시,노형동,의원,여,50대,1565300,52,30102
14-Sep,내국인 관광객,제주시,노형동,의원,여,20대,2708950,90,30099
14-Sep,내국인 관광객,제주시,노형동,기타음료식품,남,50대,1283630,43,29852
14-Sep,내국인 관광객,제주시,연동,기념품 점,여,20대,2263000,76,29776
14-Sep,내국인 관광객,제주시,연동,악세 사리,여,40대,443700,15,29580
14-Sep,내국인 관광객,서귀포시,예래동,기타음료식품,남,50대,1152300,39,29546
14-Sep,내국인 관광객,제주시,이도2동,슈퍼 마켓,남,50대,13259510,450,29466
14-Sep,내국인 관광객,서귀포시,대륜동,안경,여,30대,294000,10,29400
14-Sep,내국인 관광객,제주시,노형동,의원,남,50대,2178700,76,28667
14-Sep,내국인 관광객,제주시,이도2동,슈퍼 마켓,남,40대,25274710,888,28463
14-Sep,내국인 관광객,서귀포시,대륜동,기타음료식품,남,50대,280700,10,28070
14-Sep,내국인 관광객,제주시,용담2동,기념품 점,남,30대,32789600,1169,28049
14-Sep,내국인 관광객,서귀포시,남원읍,약국,남,40대,558200,20,27910
14-Sep,내국인 관광객,제주시,이도2동,의원,여,30대,3062780,111,27593
14-Sep,내국인 관광객,제주시,용담2동,기념품 점,여,30대,39275901,1431,27446
14-Sep,내국인 관광객,제주시,노형동,기타음료식품,남,40대,1070090,39,27438
14-Sep,내국인 관광객,제주시,용담2동,의원,여,30대,321900,12,26825
14-Sep,내국인 관광객,서귀포시,예래동,기념품 점,여,30대,1206300,45,26807
14-Sep,내국인 관광객,제주시,노형동,기타음료식품,여,40대,1124370,42,26771
14-Sep,내국인 관광객,제주시,이도2동,의원,남,30대,2622900,98,26764
14-Sep,내국인 관광객,서귀포시,예래동,기념품 점,남,30대,1485300,56,26523
14-Sep,내국인 관광객,제주시,연동,기념품 점,남,20대,1220000,46,26522
14-Sep,내국인 관광객,서귀포시,대륜동,슈퍼 마켓,남,50대,1334020,51,26157
14-Sep,내국인 관광객,제주시,용담2동,기념품 점,남,20대,9902500,379,26128
14-Sep,내국인 관광객,제주시,노형동,농축수산품,남,20대,365000,14,26071
14-Sep,내국인 관광객,서귀포시,성산읍,기타음료식품,여,40대,906300,35,25894
14-Sep,내국인 관광객,서귀포시,성산읍,스넥,남,50대,614000,24,25583
14-Sep,내국인 관광객,제주시,노형동,슈퍼 마켓,여,50대,6392730,252,25368
14-Sep,내국인 관광객,제주시,용담2동,기념품 점,여,20대,21303000,847,25151
14-Sep,내국인 관광객,서귀포시,성산읍,슈퍼 마켓,여,50대,3692100,148,24947
14-Sep,내국인 관광객,제주시,삼도2동,농축수산품,여,20대,646200,26,24854
14-Sep,내국인 관광객,서귀포시,성산읍,기념품 점,여,50대,1563700,63,24821
14-Sep,내국인 관광객,제주시,애월읍,스넥,남,50대,2093900,85,24634
14-Sep,내국인 관광객,제주시,이도2동,악세 사리,남,20대,319000,13,24538
14-Sep,내국인 관광객,서귀포시,예래동,스넥,남,50대,1896310,78,24312
14-Sep,내국인 관광객,제주시,이도2동,슈퍼 마켓,여,30대,17912220,755,23725
