date,pm10,pm25,ozone,no2,co,so2,avg,max,min,rain
2017-07-16,23,6,0.014,0.006,0.3,0.001,30,35.5,27.1,0
2017-07-17,20,6,0.014,0.005,0.3,0.001,30.8,34.5,28.1,0
2017-07-18,27,10,0.013,0.01,0.4,0.002,29.2,31.3,26.7,7.9
2017-07-19,37,21,0.037,0.01,0.5,0.002,29.1,32.3,26.3,0
2017-07-20,54,34,0.055,0.014,0.5,0.002,31.1,34.8,27.9,0
2017-07-21,44,25,0.034,0.012,0.4,0.002,32.1,37,28.6,0
2017-07-22,37,21,0.027,0.01,0.4,0.002,30.1,34.2,27.9,0
2017-07-23,33,21,0.026,0.01,0.4,0.002,31,33.9,28.2,0
2017-07-24,54,34,0.051,0.013,0.6,0.003,31.8,34.9,29.4,0
2017-07-25,61,39,0.049,0.01,0.6,0.003,30.7,34.4,27.9,0
2017-07-26,39,17,0.035,0.006,0.4,0.002,26.8,28.8,25.5,0
2017-07-27,37,19,0.04,0.008,0.5,0.003,28.3,31.9,26.1,0
2017-07-28,40,24,0.03,0.014,0.5,0.004,28.7,32,25.2,0
2017-07-29,43,31,0.033,0.012,0.5,0.004,29.2,32,27.6,0
2017-07-30,38,27,0.036,0.007,0.5,0.003,30.6,34,27.7,0
2017-07-31,32,18,0.023,0.01,0.4,0.003,30.6,36.3,28.2,1.8
2017-08-01,28,19,0.022,0.009,0.4,0.003,31,35.7,28.3,0
2017-08-02,36,21,0.045,0.006,0.4,0.003,29.6,32.9,28.2,0
2017-08-03,35,21,0.049,0.007,0.4,0.003,30.5,35.3,26.8,0
2017-08-04,38,23,0.046,0.01,0.4,0.005,29.7,32.5,28.1,0
2017-08-05,40,22,0.049,0.009,0.4,0.005,29.9,32.7,28.4,0
2017-08-06,36,20,0.047,0.008,0.4,0.005,30.2,33.1,28.7,0
2017-08-07,39,29,0.053,0.01,0.5,0.003,30.9,34,28.6,0
2017-08-08,40,31,0.061,0.015,0.5,0.002,29.5,32.8,24.7,58.7
2017-08-09,27,17,0.056,0.01,0.5,0.002,29.2,31.8,26,11.8
2017-08-10,35,26,0.057,0.012,0.5,0.003,28.7,32,27.2,0
2017-08-11,42,31,0.052,0.012,0.5,0.002,28.8,31.6,26.5,0
2017-08-12,31,21,0.043,0.007,0.3,0.001,28.7,32.7,26.6,0
2017-08-13,26,12,0.032,0.005,0.3,0.001,27.7,30,26.8,0.5
2017-08-14,28,17,0.043,0.012,0.4,0.002,28.7,32.5,25.2,50.9
2017-08-15,39,27,0.057,0.011,0.5,0.002,28.9,32.8,27.3,1.2
2017-08-16,23,12,0.036,0.01,0.3,0.002,28.3,31.2,26.2,0
2017-08-17,22,15,0.037,0.01,0.3,0.002,27.7,30.6,25.2,2.3
2017-08-18,36,27,0.044,0.013,0.4,0.003,27.2,29.7,24.6,0
2017-08-19,37,26,0.036,0.014,0.4,0.002,27.6,33,25.3,2.9
2017-08-20,24,14,0.026,0.01,0.3,0.003,28.9,33.3,25.9,3.1
2017-08-21,26,17,0.028,0.011,0.3,0.002,28,31.7,23.9,27.4
2018-01-01,51,20,0.029,0.014,0.3,0.003,6.4,8.8,4,0
2018-01-02,58,27,0.027,0.023,0.4,0.004,7,10.1,3,0
2018-01-03,34,17,0.033,0.011,0.3,0.003,5,8.4,3.5,0
2018-01-04,27,14,0.028,0.013,0.3,0.002,3.9,4.6,2.4,0.6
2018-01-05,25,15,0.029,0.013,0.3,0.002,5.1,6.5,1.9,4.2
2018-01-06,26,14,0.032,0.013,0.3,0.002,6.2,8.7,4.8,0
2018-01-07,24,14,0.021,0.021,0.3,0.002,8.5,11.5,4.4,3.6
2018-01-08,23,15,0.028,0.015,0.4,0.002,8.7,11.3,6.1,4.1
2018-01-09,45,23,0.033,0.01,0.3,0.002,4.9,7,2.8,0.4
2018-01-10,26,13,0.034,0.008,0.2,0.002,2.4,5.9,-0.5,3.4
2018-01-11,13,8,0.03,0.006,0.2,0.002,0,1.7,-2.2,8.3
2018-01-12,14,8,0.032,0.008,0.2,0.002,0.7,2.3,-2.3,1.8
2018-01-13,25,15,0.024,0.02,0.3,0.002,4.5,6.9,1.4,0
2018-01-14,32,20,0.026,0.022,0.4,0.003,7.8,12.9,3.1,0
2018-01-15,27,13,0.026,0.021,0.3,0.002,10.8,14.4,7.8,0
2018-01-16,23,15,0.014,0.031,0.4,0.003,12.1,14.4,8.7,16.5
2018-01-17,31,23,0.037,0.015,0.4,0.002,9.5,11.5,8.5,3.8
2018-01-18,95,69,0.039,0.021,0.7,0.003,8.9,10.8,6.3,0
2018-01-19,59,28,0.027,0.023,0.5,0.003,6.8,9.4,4.3,0
2018-01-20,69,34,0.03,0.023,0.5,0.004,6.1,9.9,2.8,0
2018-01-21,66,40,0.036,0.021,0.5,0.004,8.5,11.4,3.9,0
2018-01-22,65,44,0.041,0.018,0.5,0.004,9,10.9,7.1,0.7
2018-01-23,31,18,0.035,0.011,0.3,0.002,2.1,7.6,0,0.3
2018-01-24,20,12,0.032,0.009,0.3,0.002,-1.2,1.2,-2.4,4.5
2018-01-25,19,10,0.032,0.009,0.2,0.002,-1.9,-1.2,-2.6,0
2018-01-26,20,11,0.032,0.009,0.3,0.002,-1.3,-0.4,-2.1,0.1
2018-01-27,23,12,0.031,0.013,0.3,0.003,0.9,3.6,-1.6,0
